"","Vendedor","Distância total percorrida em Km"
"1","A001",1828.05333111415
"2","A002",875.69711351388
"3","A003",1510.15310273125
"4","A005",439.87972539549
"5","A007",752.925921881585
"6","A008",1342.20397207065
"7","A009",276.351909781712
"8","A010",218.154764892184
"9","A011",1137.20325712733
"10","A012",1307.38066821253
"11","A013",1616.27494248142
"12","A014",1169.50226809694
"13","A015",293.496183322548
"14","A016",689.93281839659
"15","A017",793.491069822858
"16","A018",895.609646791117
"17","A019",1460.50498480855
"18","A020",247.919251535032
"19","A021",416.68754528926
"20","A036",682.288297939206
"21","A037",921.205732171781
"22","A038",374.904016683442
"23","A039",2029.48374464102
"24","A041",685.628774953973
"25","A042",334.892298575857
"26","A043",382.486090924261
"27","A044",304.206826525245
"28","A046",722.042196372713
"29","A047",459.169317148062
"30","A048",288.083423690339
"31","A049",575.359067548162
"32","A051",906.825034166987
"33","A053",272.17118856546
"34","A054",651.779669409239
"35","A056",219.987952899862
"36","A057",653.539121693116
"37","A059",1875.56513625538
"38","A060",377.472590636693
"39","A061",1074.88260974648
"40","A062",293.051415418808
"41","A063",483.279664732901
"42","A064",673.843545602496
"43","A065",2431.49044370277
"44","A066",1203.18754780486
"45","A067",839.032833297893
"46","A068",840.180583928107
"47","A069",480.142728518844
"48","A070",2296.38613506763
"49","A071",523.236496592933
"50","A073",787.221284348505
"51","A074",1170.65792476384
"52","A075",2007.68252768286
"53","A076",1011.90157503675
"54","A077",9989.24982821386
"55","A078",697.179149690481
"56","A079",2250.99428627798
"57","A080",2216.34841247698
"58","A081",3733.2986208869
"59","A082",1905.74321263205
"60","A083",1981.74311192998
"61","A084",1275.32644209278
"62","A095",307.205197538417
"63","A098",256.121963251568
"64","A099",1031.36778996412
"65","A170",380.00457732945
"66","A190",1348.41752036072
"67","A192",424.781264113617
"68","A193",986.83241548926
"69","A194",900.385373869581
"70","A195",287.750043950025
"71","A196",1313.19289050353
"72","A209",391.100981916077
"73","A225",590.345403170571
"74","A227",559.295043112623
"75","A230",216.939623620945
"76","A233",769.648512712413
"77","A235",566.059337932589
"78","A243",221.577924782384
"79","A244",337.894382545126
"80","A252",3395.31443905709
"81","A253",283.985410399922
"82","A255",316.340340635748
"83","A287",259.379684749659
"84","A302",706.661685738242
"85","A304",203.248818794863
"86","A305",489.718993310194
"87","A306",1037.12501912838
"88","A307",1424.71244308396
"89","A334",540.751948352004
"90","A364",1074.06022523076
"91","A365",987.457779537096
"92","A366",854.540855986943
"93","A368",454.053216224245
"94","A378",638.822823240215
"95","A379",2209.34587652323
"96","A382",2100.9533152269
"97","A402",194.97969684327
"98","A405",1294.94159129315
"99","A406",1205.60358096856
"100","A408",1770.95979941506
"101","A410",922.116185538034
"102","A417",243.149639492458
"103","A422",718.9272059576
"104","A429",965.946675541272
"105","A431",246.540364877477
"106","A432",1775.96556104352
"107","A433",956.359020104164
"108","A445",839.729693751715
"109","A446",953.202219273524
"110","A460",678.239453689034
"111","A466",762.894019342772
"112","A469",775.410580209701
"113","A510",377.781119334957
"114","A511",225.903947818887
"115","A544",338.204184921451
"116","A546",844.295863938769
"117","A547",1003.33323336126
"118","A605",1174.68180668262
"119","A606",469.008551277183
"120","A611",1292.7323927155
"121","A613",1443.65075440413
"122","A614",1122.72018875912
"123","A674",1487.73906154545
"124","A680",1469.73837091158
"125","A711",378.471593566859
"126","A712",225.661326665825
"127","A713",373.199480637499
"128","A714",1875.08571361323
"129","A715",1944.00412057062
"130","A716",581.457990165182
"131","A717",881.622654758235
"132","A718",644.293768354973
"133","A720",374.447382505455
"134","A721",3726.03564719772
"135","A722",607.804324727144
"136","A723",483.17020847322
"137","A724",450.896410309444
"138","A725",938.977656475624
"139","A727",685.283173318127
"140","A728",182.211290904448
"141","A729",373.047391137253
"142","A730",685.917781453022
"143","A732",459.133510129875
"144","A733",1688.89490295558
"145","A736",325.253184867137
"146","A738",1268.79447802461
"147","A739",917.536675379861
"148","A740",293.862939212967
"149","A741",1383.83242431371
"150","A742",450.796385907645
"151","A744",1033.10856698581
"152","A745",1123.12414955078
"153","A748",1837.64356571349
"154","A750",1063.84554378916
"155","A751",821.813740688385
"156","A756",1594.83823476526
"157","A785",241.396757770372
"158","A786",516.124987322414
"159","A793",973.574977311915
"160","A796",370.77797651718
"161","A797",667.938496705728
"162","A798",821.176451345185
"163","A801",386.723099276992
"164","A802",1976.66943844916
"165","A804",1288.43481255845
"166","A838",925.735696222203
"167","A839",1644.32070214964
"168","A841",497.005891520042
"169","A842",1315.33371931228
"170","A843",785.710871580257
"171","A844",514.284938422728
"172","A845",1254.81364670319
"173","A850",971.29607168876
"174","A851",1050.2016356746
"175","A852",523.260322340824
"176","A853",318.6521802315
"177","A855",502.752451621207
"178","A856",927.688532994153
"179","A858",953.502436267617
"180","A859",1018.49140631881
"181","A995",1178.53527267125
"182","A997",930.369933085192
"183","A999",1133.24339446796
